Current Offset,Sample Number,Title,Trigger Offset,Time End,Time Start,U Sec,Time Of Threshold
8938,16384,wf_1695,10136,1662555485.5954137,1662555485.5952826,595282,656
11434,16384,wf_1696,12632,1662555485.6214237,1662555485.6212926,621292,520
10464,16384,wf_1697,11662,1662555485.6343467,1662555485.6342156,634215,688
6576,16384,wf_1698,7774,1662555485.6463091,1662555485.646178,646178,656
13183,16384,wf_1699,14381,1662555485.6639626,1662555485.6638315,663831,648
1411,16384,wf_1701,2609,1662555485.6826863,1662555485.6825552,682555,576
3125,16384,wf_1702,4323,1662555485.70891,1662555485.7087789,708778,712
3778,16384,wf_1703,4976,1662555485.719867,1662555485.7197359,719735,632
3378,16384,wf_1704,4576,1662555485.7401338,1662555485.7400026,740002,536
8376,16384,wf_1705,9574,1662555485.760164,1662555485.760033,760032,584
11186,16384,wf_1706,12384,1662555485.7969332,1662555485.796802,796802,496
2505,16384,wf_1707,3703,1662555485.8190908,1662555485.8189597,818959,632
8468,16384,wf_1708,9666,1662555485.8257232,1662555485.825592,825592,784
1422,16384,wf_1709,2620,1662555485.85863,1662555485.8584988,858498,1256
16333,16384,wf_1710,1147,1662555485.8708725,1662555485.8707414,870741,448
3459,16384,wf_1711,4657,1662555485.8858848,1662555485.8857536,885753,1256
3185,16384,wf_1712,4383,1662555485.8994765,1662555485.8993454,899345,560
14141,16384,wf_1713,15339,1662555485.9136734,1662555485.9135423,913542,664
6485,16384,wf_1714,7683,1662555485.9346955,1662555485.9345644,934564,552
5768,16384,wf_1715,6966,1662555485.9390652,1662555485.938934,938934,488
9747,16384,wf_1716,10945,1662555485.9675741,1662555485.967443,967442,688
13259,16384,wf_1717,14457,1662555485.9776049,1662555485.9774737,977473,992
15721,16384,wf_1718,535,1662555485.991422,1662555485.9912908,991290,456
7503,16384,wf_1719,8701,1662555486.0001316,1662555486.0000005,0,576
14040,16384,wf_1720,15238,1662555486.027765,1662555486.027634,27633,504
16091,16384,wf_1721,905,1662555486.038393,1662555486.038262,38261,680
10728,16384,wf_1722,11926,1662555486.0451932,1662555486.045062,45062,688
15618,16384,wf_1723,432,1662555486.050169,1662555486.0500379,50037,568
2505,16384,wf_1724,3703,1662555486.0595312,1662555486.0594,59400,552
14677,16384,wf_1725,15875,1662555486.0708792,1662555486.070748,70747,904
5682,16384,wf_1726,6880,1662555486.104965,1662555486.1048338,104833,536
15149,16384,wf_1727,16347,1662555486.1109107,1662555486.1107795,110779,560
13929,16384,wf_1728,15127,1662555486.1260126,1662555486.1258814,125881,1032
3427,16384,wf_1729,4625,1662555486.1339824,1662555486.1338513,133851,808
4640,16384,wf_1730,5838,1662555486.1457884,1662555486.1456573,145657,488
8071,16384,wf_1731,9269,1662555486.1520734,1662555486.1519423,151942,872
3458,16384,wf_1732,4656,1662555486.1730673,1662555486.1729362,172936,720
2706,16384,wf_1733,3904,1662555486.191666,1662555486.1915348,191534,656
2516,16384,wf_1734,3714,1662555486.1963942,1662555486.196263,196263,464
4462,16384,wf_1735,5660,1662555486.2030506,1662555486.2029195,202919,640
1168,16384,wf_1736,2366,1662555486.2091236,1662555486.2089925,208992,952
4061,16384,wf_1737,5259,1662555486.2205148,1662555486.2203836,220383,528
9156,16384,wf_1738,10354,1662555486.2354183,1662555486.2352872,235287,680
3918,16384,wf_1739,5116,1662555486.2415848,1662555486.2414536,241453,808
10317,16384,wf_1740,11515,1662555486.2595825,1662555486.2594514,259451,512
9414,16384,wf_1741,10612,1662555486.288868,1662555486.2887368,288736,640
4871,16384,wf_1743,6069,1662555486.2971628,1662555486.2970316,297031,576
10279,16384,wf_1744,11477,1662555486.3012497,1662555486.3011186,301118,624
7638,16384,wf_1745,8836,1662555486.3120692,1662555486.311938,311938,552
7131,16384,wf_1746,8329,1662555486.3192425,1662555486.3191113,319111,760
14998,16384,wf_1747,16196,1662555486.3269715,1662555486.3268404,326840,544
3589,16384,wf_1748,4787,1662555486.3392498,1662555486.3391187,339118,768
2053,16384,wf_1749,3251,1662555486.3507178,1662555486.3505867,350586,752
12931,16384,wf_1750,14129,1662555486.3606007,1662555486.3604696,360469,3000
4654,16384,wf_1751,5852,1662555486.3640478,1662555486.3639166,363916,808
11994,16384,wf_1752,13192,1662555486.3867962,1662555486.386665,386665,840
2694,16384,wf_1753,3892,1662555486.4234889,1662555486.4233577,423357,488
11024,16384,wf_1754,12222,1662555486.4269764,1662555486.4268453,426845,920
14856,16384,wf_1755,16054,1662555486.4419856,1662555486.4418545,441854,408
15233,16384,wf_1756,47,1662555486.453877,1662555486.4537458,453745,536
12206,16384,wf_1757,13404,1662555486.4611218,1662555486.4609907,460990,832
85,16384,wf_1758,1283,1662555486.4699597,1662555486.4698286,469828,536
4372,16384,wf_1759,5570,1662555486.4734728,1662555486.4733417,473341,656
15013,16384,wf_1760,16211,1662555486.485217,1662555486.485086,485085,856
13835,16384,wf_1761,15033,1662555486.5070407,1662555486.5069096,506909,664
4776,16384,wf_1762,5974,1662555486.520404,1662555486.520273,520272,1128
7459,16384,wf_1763,8657,1662555486.5402586,1662555486.5401275,540127,480
9155,16384,wf_1764,10353,1662555486.5460947,1662555486.5459635,545963,640
15995,16384,wf_1765,809,1662555486.552574,1662555486.5524428,552442,864
12617,16384,wf_1766,13815,1662555486.565842,1662555486.5657108,565710,592
7121,16384,wf_1767,8319,1662555486.579246,1662555486.579115,579114,736
1743,16384,wf_1768,2941,1662555486.5874035,1662555486.5872724,587272,784
15509,16384,wf_1769,323,1662555486.606604,1662555486.606473,606473,624
951,16384,wf_1770,2149,1662555486.6277862,1662555486.627655,627654,520
6602,16384,wf_1772,7800,1662555486.6417055,1662555486.6415744,641574,760
11053,16384,wf_1773,12251,1662555486.6544824,1662555486.6543512,654351,776
4893,16384,wf_1774,6091,1662555486.6651073,1662555486.6649761,664976,792
4893,16384,wf_1774,6091,1662555486.6651073,1662555486.6649761,664976,792
4875,16384,wf_1775,6073,1662555486.6746366,1662555486.6745055,674505,1224
4875,16384,wf_1775,6073,1662555486.6746366,1662555486.6745055,674505,1224
11995,16384,wf_1776,13193,1662555486.6841586,1662555486.6840274,684027,664
6163,16384,wf_1777,7361,1662555486.6893282,1662555486.689197,689197,1024
2818,16384,wf_1778,4016,1662555486.6992679,1662555486.6991367,699136,688
9548,16384,wf_1779,10746,1662555486.7337217,1662555486.7335906,733590,680
2882,16384,wf_1780,4080,1662555486.7379289,1662555486.7377977,737797,960
10539,16384,wf_1781,11737,1662555486.782232,1662555486.782101,782100,1192
9336,16384,wf_1782,10534,1662555486.7987015,1662555486.7985704,798570,600
5480,16384,wf_1783,6678,1662555486.808585,1662555486.8084538,808453,1072
10874,16384,wf_1784,12072,1662555486.812097,1662555486.811966,811965,544
16079,16384,wf_1785,893,1662555486.8177624,1662555486.8176312,817631,520
6585,16384,wf_1786,7783,1662555486.8268368,1662555486.8267057,826705,904
10797,16384,wf_1787,11995,1662555486.8329782,1662555486.832847,832847,896
1845,16384,wf_1788,3043,1662555486.8421752,1662555486.842044,842044,1120
3390,16384,wf_1789,4588,1662555486.8480437,1662555486.8479125,847912,416
198,16384,wf_1790,1396,1662555486.8552976,1662555486.8551664,855166,1976
9705,16384,wf_1791,10903,1662555486.8597736,1662555486.8596425,859642,712
14093,16384,wf_1792,15291,1662555486.863395,1662555486.8632638,863263,968
3264,16384,wf_1793,4462,1662555486.8764112,1662555486.87628,876280,552
3264,16384,wf_1793,4462,1662555486.8764112,1662555486.87628,876280,552
1948,16384,wf_1794,3146,1662555486.9211574,1662555486.9210262,921026,464
12991,16384,wf_1795,14189,1662555486.937727,1662555486.9375958,937595,576
10100,16384,wf_1796,11298,1662555486.9561262,1662555486.955995,955995,696
