Max,Time,Integral,Time Of Threshold,INTNS
[270.66292272],1662555467.2870963,[17668.90489562],1248,[17668.90489562]
[57.50213649],1662555467.2919788,[5906.72689537],600,[5906.72689537]
[114.14967647],1662555467.303423,[9024.05078745],824,[9024.05078745]
[49.20034184],1662555467.3106785,[5340.37358076],488,[5340.37358076]
[166.89048956],1662555467.3218658,[12781.22329386],1128,[12781.22329386]
[310.7068734],1662555467.3297024,[20987.66939324],1368,[20987.66939324]
[98.15651325],1662555467.3603163,[8251.25137346],864,[8251.25137346]
[227.20058601],1662555467.4291239,[15691.36857526],1144,[15691.36857526]
[93.0289342],1662555467.456098,[8240.75204493],824,[8240.75204493]
[344.28030765],1662555467.4671843,[22823.3426932],1376,[22823.3426932]
[58.47881822],1662555467.4764833,[6388.96349652],672,[6388.96349652]
[41.0206324],1662555467.5013359,[5236.23489195],496,[5236.23489195]
[103.89451837],1662555467.5112364,[8334.02514955],832,[8334.02514955]
[37.11390551],1662555467.5207622,[4911.61030399],456,[4911.61030399]
[70.44316933],1662555467.5249116,[6680.25882066],640,[6680.25882066]
[231.1073129],1662555467.5451207,[15578.19558051],1200,[15578.19558051]
[67.87937981],1662555467.5595171,[6405.32291539],656,[6405.32291539]
[58.23464778],1662555467.567861,[5819.68013674],520,[5819.68013674]
[87.29092907],1662555467.5710762,[7630.81430839],760,[7630.81430839]
[44.68318887],1662555467.5780785,[5158.10035405],432,[5158.10035405]
[60.55426688],1662555467.5867517,[6302.77133439],648,[6302.77133439]
[43.09608106],1662555467.6047118,[5248.68758393],504,[5248.68758393]
[88.63386644],1662555467.6086833,[7586.98571603],744,[7586.98571603]
[50.54327921],1662555467.6249921,[5677.93920156],560,[5677.93920156]
[45.04944451],1662555467.646318,[5280.18556953],528,[5280.18556953]
[45.04944451],1662555467.646318,[5280.18556953],528,[5280.18556953]
[39.31143938],1662555467.6549342,[4694.05445001],416,[4694.05445001]
[46.5144671],1662555467.6718445,[5329.01965572],512,[5329.01965572]
[76.91368575],1662555467.706173,[7031.98632646],688,[7031.98632646]
[88.38969601],1662555467.7135642,[7929.06848981],784,[7929.06848981]
[48.1015749],1662555467.7182374,[5833.71993652],616,[5833.71993652]
